id,area,pagina,carpeta_origen,titulo,descripcion,tipo,archivo_origen,estado,prioridad,es_duplicado,duplicado_de
51,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,incorporar y presentar de manera organizada los ejes estratégicos que orientan la actividad investig…,"incorporar y presentar de manera organizada los ejes estratégicos que orientan la actividad investigativa de la Dirección de Investigación, acompañando cada eje, de corresponder, con una breve descripción que permita al usuario comprender su finalidad. La modificación deberá limitarse a la sección de Dirección de Investigación, manteniendo sin cambios la denominación y contenido de los apartados correspondientes a otras secciones, como “Centros de Investigación”. Justificación: El cambio permitirá diferenciar los contenidos propios de la Dirección de Investigación de aquellos correspondientes a otras unidades o secciones institucionales. Asimismo, la denominación “Ejes Estratégicos de la Investigación” permitirá comunicar de manera más precisa los componentes que orientan la gestión y el desarrollo de las actividades investigativas de la Dirección de Investigación, facilitando su comprensión por parte de docentes, estudiantes, investigadores y visitantes de la página web. La precisión de que el cambio se realice únicamente",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
52,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,en la sección “Dirección de Investigación” evitará que la propuesta sea interpretada como una modifi…,en la sección “Dirección de Investigación” evitará que la propuesta sea interpretada como una modificación general de los contenidos de investigación de toda la página institucional. Nombre sugerido para el apartado: EJES ESTRATÉGICOS DE LA INVESTIGACIÓN Contenido sugerido: En este apartado se presentarán los ejes estratégicos que orientan y articulan las actividades de investigación de la Dirección de Investigación. Incorporación de convenios de colaboración internacional vinculados con investigación,observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
53,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,En el apartado correspondiente a “Colaboración internacional” de la página web de la Dirección de In…,"En el apartado correspondiente a “Colaboración internacional” de la página web de la Dirección de Investigación, actualmente no se visualiza contenido relacionado con los convenios o acuerdos de cooperación internacional vinculados específicamente con actividades de investigación. Esta ausencia de información limita la visibilidad de las alianzas institucionales que la Universidad mantiene o desarrolla en el ámbito de la investigación, así como las oportunidades de cooperación académica y científica que puedan derivarse de estos convenios. Imagen referencial: Imagen 04. Apartado de “Colaboración internacional” de la Dirección de Investigación, donde actualmente no se visualiza contenido relacionado con convenios de investigación.",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
54,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,Incorporar en el apartado de “Colaboración internacional” los logotipos de las instituciones con las…,"Incorporar en el apartado de “Colaboración internacional” los logotipos de las instituciones con las cuales la Universidad mantiene convenios o acuerdos de cooperación vinculados específicamente con actividades de investigación. Se propone presentar los logotipos de manera ordenada y acompañarlos, de ser pertinente, con el nombre de la institución correspondiente y un enlace que permita acceder a información relacionada con el convenio o la institución colaboradora (Transparencia). Justificación: La incorporación de los convenios de colaboración internacional permitirá visibilizar las alianzas estratégicas de la Universidad en materia de investigación, fortaleciendo la difusión de las actividades de cooperación científica y académica. Asimismo, esta información permitirá que docentes, estudiantes e investigadores puedan identificar las instituciones con las que la Universidad mantiene vínculos de colaboración relacionados con investigación, contribuyendo a proyectar la actividad investigativa de la UPRIT hacia el ámbito nacional e internacional. Contenido sugerido: COLABORACIÓN INTERNACIONAL Instituciones con convenios y acuerdos de cooperación vinculados con investigación. [Logotipo de la institución 1] - [Logotipo de la institución 2] - [Logotipo de la institución 3] - [Logotipo de la institución 4] … Incorporación de proyectos y producción científica en el apartado “Producción Científica”",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
55,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,"En el apartado denominado “Producción Científica” de la página web de la Dirección de Investigación,…","En el apartado denominado “Producción Científica” de la página web de la Dirección de Investigación, actualmente se presenta únicamente una descripción general sobre la producción científica, sin",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
56,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,incorporar información específica que permita,incorporar información específica que permita,observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
57,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,"visualizar los proyectos de investigación desarrollados por la Universidad. Asimismo, se considera n…","visualizar los proyectos de investigación desarrollados por la Universidad. Asimismo, se considera necesario facilitar el acceso a la producción científica disponible en el Repositorio Institucional, donde se encuentran productos académicos y de investigación, entre ellos trabajos de investigación y tesis. Imagen referencial: Imagen 05. Apartado “Producción Científica” de la Dirección de Investigación, donde se observa actualmente una descripción general sin información detallada sobre los proyectos y productos de investigación. Solución propuesta: Complementar el apartado “Producción Científica” incorporando la relación de los proyectos de investigación I+D+i correspondientes a los años 2025–2026, de manera que los usuarios puedan identificar los principales proyectos desarrollados por docentes de la Universidad. Se propone presentar esta información mediante una tabla que contenga, como mínimo, los siguientes campos: N° Título del proyecto Investigador principal Coautores Línea de investigación Producto 1 “Probabilidades de Daños en Estructuras de Sistema Estructural Dual Frente a Sismos de Gran Magnitud, Lima – 2025” Dr. Lenin Miguel Bendezú Romero Enrique Manuel Durand Bazán Gestión, Innovación, Infraestructura Sostenible y Sistemas Constructivos Artículo científico 2 “Percepciones Parentales y Propuesta Pedagógica para Fomentar la Identidad Cultural” Dra. Olga Estela Mendoza León Celina Pérez Mena Carlos Diego León Villacorta Innovación, Tecnologías, Metodologías y Procesos Pedagógicos, Gestión y Calidad Educativa Artículo científico 3 “Sistema Multimodal de Seguridad Vehicular Basado en Reconocimiento Facial y Control de Encendido para Vehículos usando Microcomputadoras de Bajo Consumo” Mg. Charlen Máximo Calero Huamán Cecilia Marieta Lezama Sánchez Sistemas y Seguridad de la Información, Inteligencia Artificial, Desarrollo de Procesos Industriales, Gestión de Proyectos, Riesgos y Sostenibilidad Ambiental Artículo científico 4 “Plataforma de Monitoreo de Salud Emocional Estudiantil a través de Análisis de Voz y Expresiones Faciales” Mg. Antonio Manfredi Fernández Figueroa Alexander Máximo Rodríguez García Paula Alexandra La Barrera Neciosup Emprendimiento, Gestión Empresarial y Pública, Finanzas, Tributación, Auditoría y Competitividad. Artículo científico 5 “Gestión de la Innovación con Tecnología Financiera en el Crecimiento de la Mypes de Calzado Peruanas” Dra. Olenka Ana Catherine Espinoza Rodríguez Marco Antonio Sevilla Gamarra Mirtha Zulema Armas Chang Luigi Ítalo Villena Zapata Emprendimiento, Gestión Empresarial y Pública, Finanzas, Tributación, Auditoría y Competitividad. Artículo científico 6 “Smart contracts y seguridad jurídica en el Perú: análisis de su viabilidad en el sistema legal peruano” Carlos Jesús Alza Collantes Ghandy Allizon Rengifo Calvanapon Gustavo Antero Silva Kuo-Ying Fabrizio Alonso Morales Novoa Eficiencia de Justicia, Derecho, Estado y Gestión Pública Artículo científico 7 “Uso de geosintético y residuos de concreto estructural como aditivo estabilizador de subrasantes débiles: Estudio experimental y modelo de regresión múltiple” Luigi Ítalo Villena Zapata Rolando Fuentes Llave Álvaro Gustavo Amaya Álvarez Wilson Rolando Cruz Quezada Juan Martín García Chacero Marlon Gastón Farfán Córdova Gestión, Innovación, Infraestructura Sostenible y Sistemas Constructivos Artículo científico 9 “Estrategias de Ciencias y Tecnología en el desarrollo de habilidades investigativas de una Institución Educativa en Trujillo, 2026” Renzo Jesus Maldonado Gomez Julio César Cueva Torres Karin Araceli Valverde Reyes Luigi Ítalo Villena Zapata Innovación, Tecnologías, Metodologías y Procesos Pedagógicos, Gestión y Calidad Educativa Artículo científico 9 “Desarrollo de un sistema IoT con Microcontrolador ARM Cortex y su efecto sobre la detección de pérdidas de eficiencia energética” Charlen Máximo Calero Huamán Joffre Hugo Vara Chávez Sistemas y Seguridad de la Información, Inteligencia Artificial, Desarrollo de Procesos Industriales, Gestión de Proyectos, Riesgos y Sostenibilidad Ambiental Artículo científico 10 “Incidencia del valor de la marca en la adopción de billeteras móviles en empresas comercializadoras de calzado, Trujillo 2026” Mirtha Zulema Armas Chang Luigi Ítalo Villena Zapata Olenka Ana Catherine Espinoza Rodríguez Marco Antonio Sevilla Gamarra Emprendimiento, Gestión Empresarial y Pública, Finanzas, Tributación, Auditoría y Competitividad. Artículo científico 11 “Efectos de un programa de prevención en adicciones tecnológicas sobre la carga cognitiva en adolescentes, Trujillo 2026” Jacqueline Roxana Romero Reyna Anita Campos Márquez Luigi Ítalo Villena Zapata Kenia Andreina Muñoz Flores Natalia Mavila Rodríguez Guzmán Emprendimiento, Gestión Empresarial y Pública, Finanzas, Tributación, Auditoría y Competitividad. Artículo científico Asimismo, se propone",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
58,Dirección de Investigación,Bienestar / RSU,5 - DIRECCION DE INVESTIGACION,"incorporar un botón o enlace de acceso al Repositorio Institucional, que permita redirigir al usuari…","incorporar un botón o enlace de acceso al Repositorio Institucional, que permita redirigir al usuario directamente al espacio donde se encuentra disponible la producción académica y científica de la Universidad, incluyendo las tesis y demás trabajos de investigación disponibles en el repositorio. Justificación: La incorporación de esta información permitirá que el apartado “Producción Científica” no se limite a una descripción general, sino que evidencie de manera concreta la actividad investigativa desarrollada por la Universidad. Asimismo, la presentación de los proyectos I+D+i permitirá visibilizar las investigaciones realizadas durante los años 2025–2026, identificando a sus investigadores, líneas de investigación, aliados o beneficiarios y productos derivados. Por otro lado, la incorporación de un enlace directo al Repositorio Institucional facilitará el acceso de docentes, estudiantes, investigadores y visitantes externos a la producción académica y científica de la Universidad, incluyendo las tesis y otros trabajos de investigación disponibles. Contenido sugerido para el apartado: PRODUCCIÓN CIENTÍFICA Principales proyectos de investigación y productos científicos desarrollados por la UPRIT, promoviendo la generación, difusión y acceso al conocimiento. Proyectos de Investigación I+D+i – 2025–2026 [Tabla de proyectos] 🔗 Acceder al Repositorio Institucional Incorporación de proyectos de investigación vinculados con la Responsabilidad Social Universitaria",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
59,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,En la página web de la Dirección de Investigación se identifica actualmente un apartado denominado “…,"En la página web de la Dirección de Investigación se identifica actualmente un apartado denominado “Investigación con Impacto”, en el cual se presenta una descripción general sobre los proyectos de investigación y su contribución a la innovación y al beneficio de la sociedad. Sin embargo, el contenido actual no permite identificar de manera específica cuáles de los proyectos de investigación desarrollados por la Universidad se encuentran vinculados con acciones o componentes de Responsabilidad Social Universitaria (RSU), ni permite",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
60,Dirección de Investigación,Bienestar / RSU,5 - DIRECCION DE INVESTIGACION,"visualizar los principales beneficiarios, aliados o aportes generados por dichos proyectos. Imagen r…","visualizar los principales beneficiarios, aliados o aportes generados por dichos proyectos. Imagen referencial: Imagen 06. Apartado “Investigación con Impacto” de la página web de la Dirección de Investigación. Solución propuesta: Modificar la denominación “Investigación con Impacto” por “INVESTIGACIÓN CON RESPONSABILIDAD SOCIAL UNIVERSITARIA”, orientando este apartado a la identificación y difusión de los proyectos de investigación que contribuyen al desarrollo y atención de necesidades de la sociedad. Asimismo, se propone",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
